pTHatMin = 50, #Events = 100, Centrality = 0, Alpha = 0.35, Kappa = 10 Tc= 0
EVENT# = 0, PARTICLES# = 32, X = 2.62739, Y = 0.759099, B = 0.359228
5 5.81711 -2.76243 28.5322 29.2499 3.17437 -1.50544 17.3636 17.7133 0 39 21 ps 122 117
6 1.18301 2.04107 -57.4373 57.4858 0 0 0 0 6.7435e-07 40 21 ps 116 131
7 -2.84449 -2.97669 -18.8863 19.3299 0 0 0 0 5.84004e-07 45 21 ps 103 109
8 -7.95911 -3.85631 5.79258 10.5723 0 0 0 0 4.4604e-07 46 21 ps 110 105
9 3.28145 1.40766 18.3813 18.7249 0 0 0 0 0 -1 21 isr 107 111
10 -2.58904 -1.91236 101.127 101.178 0 0 0 0 1.90735e-06 47 21 ps 111 120
11 -0.211895 -3.37497 2.64621 4.29392 0 0 0 0 9.88431e-08 41 21 ps 127 113
12 0.730304 -5.27807 -1.6901 5.58998 0 0 0 0 8.9407e-08 53 21 ps 102 114
13 0.452204 -3.13697 0.30097 3.18365 0 0 0 0 1.17804e-08 48 21 ps 114 115
14 1.66953 -0.499513 -75.4609 75.481 0 0 0 0 9.53674e-07 42 21 ps 104 118
15 -0.0468484 -0.156409 8.44792 8.44949 0 0 0 0 2.06477e-07 49 21 ps 117 107
16 1.53193 2.5827 -28.8917 29.0473 0 0 0 0 4.76837e-07 42 21 ps 118 116
17 -3.06411 7.14776 7.83836 11.0417 0 0 0 0 3.76973e-07 50 21 ps 119 104
18 0.650889 -0.381716 24.6256 24.6371 0 0 0 0 7.53946e-07 43 21 ps 129 112
19 5.73964 -17.0055 -0.435426 17.9533 5.88726 -16.1044 -0.889148 17.1694 2.97977e-07 54 21 ps 126 124
20 4.44468 -1.18459 12.109 12.9532 1.60332 -0.480084 4.43457 4.73914 2.92002e-07 39 21 ps 113 122
21 -9.23268 16.5691 -9.38378 21.1621 0 0 0 0 2.38419e-07 36 21 ps 123 106
22 1.05014 -3.82143 -0.946448 4.07454 0.878674 -1.4258 -0.262115 1.69517 6.90938e-08 57 21 ps 124 121
23 -1.14116 11.728 15.0724 19.1318 -0.813219 8.27915 11.7088 14.3633 5.05762e-07 35 21 ps 125 119
24 7.97292 -26.9015 -2.01939 28.1307 8.41781 -26.5661 -2.6234 27.9912 5.58346e-07 44 21 ps 132 126
25 -1.1923 -2.07756 5.44082 5.94478 0 0 0 0 1.03238e-07 41 21 ps 115 127
26 -5.64105 2.74974 1.9149 6.5695 0 0 0 0 1.43653e-07 38 -1 ps 0 110
27 1.0761 -1.77537 -0.62059 2.16681 1.66387 -1.31847 -0.504475 2.18206 1.32654e-07 51 21 ps 105 128
28 -2.02379 -1.14528 48.7843 48.8397 0 0 0 0 6.7435e-07 43 21 ps 120 129
29 2.11189 -0.703892 -9.35034 9.61168 0 0 0 0 5.96046e-07 37 21 ps 108 130
30 2.73453 2.52889 -45.0225 45.1763 0 0 0 0 9.53674e-07 40 21 ps 131 108
31 7.61277 -32.6351 -3.44152 33.6875 8.15891 -32.2448 -4.16131 33.5204 3.88575e-07 44 21 ps 128 132
32 0.387755 -0.340831 375.91 375.91 0.387755 -0.340831 375.91 375.91 0 0 2 rem 112 0
33 0.822504 -0.325396 560.617 560.618 0.822504 -0.325396 560.617 560.618 0 0 2101 rem 0 101
34 -1.14196 1.44498 -1016.47 1016.47 -1.14196 1.44498 -1016.47 1016.47 0 0 2203 rem 0 103
35 -13.5998 73.964 92.7799 119.466 -10.8745 62.2762 75.997 98.8838 2.90428 50 21 ps 101 119
36 -12.1007 22.0265 -14.3864 29.1015 -13.0884 21.0382 -13.6114 28.413 2.88723 45 21 ps 109 106
37 10.2449 0.181805 -30.4431 32.2379 10.2454 0.196094 -30.5138 32.3049 2.71975 55 1 ps 108 0
38 -13.8549 9.51507 2.90368 17.2617 -13.6297 9.59977 3.62757 17.2633 2.65343 46 21 ps 106 110
39 10.2618 -3.94702 40.6411 42.2031 10.2788 -3.88458 41.9703 43.4829 2.91783 49 21 ps 113 117
40 3.91754 4.56996 -102.46 102.662 3.91754 4.56996 -102.46 102.662 2.29141 52 21 ps 116 108
41 -1.4042 -5.45253 8.08704 10.2387 -1.4042 -5.45253 8.08704 10.2387 2.7801 48 21 ps 115 113
42 3.20146 2.08319 -104.353 104.528 3.20146 2.08319 -104.353 104.528 4.7034 52 21 ps 104 116
43 -1.37291 -1.52699 73.4099 73.4768 -1.37291 -1.52699 73.4099 73.4768 2.37006 47 21 ps 120 112
44 15.5857 -59.5366 -5.4609 61.8182 16.5767 -58.8109 -6.78471 61.5116 2.03672 51 21 ps 128 126
45 -14.9452 19.0498 -33.2727 48.4314 -14.9452 19.0498 -33.2727 48.4314 25.5397 56 21 ps 103 106
